Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
Somajiguda,Apartment,1,4121,42.89,0.01,1992,Semi-furnished,29,28,33,6,6,High,Yes,Yes,Pool,West,Broker,Under_Construction
Kokapet,Villa,2,2922,158.21,0.05,2008,Semi-furnished,4,2,17,2,3,High,Yes,No,"Playground, Garden",South,Broker,Under_Construction
Jubilee Hills,Independent House,5,2915,202.92,0.07,1999,Unfurnished,28,1,26,7,5,High,Yes,Yes,"Pool, Playground",North,Builder,Ready_to_Move
Kavuri Hills,Villa,1,954,491.09,0.51,2007,Semi-furnished,6,6,18,6,2,Low,Yes,Yes,"Garden, Playground",West,Broker,Ready_to_Move
Nanakramguda,Apartment,1,3357,35.96,0.01,2001,Unfurnished,24,18,24,7,7,Low,Yes,Yes,"Playground, Pool, Clubhouse, Gym, Garden",West,Broker,Under_Construction
Kokapet,Independent House,5,3310,495.73,0.15,2023,Furnished,16,24,2,6,2,High,Yes,Yes,"Playground, Clubhouse",West,Builder,Ready_to_Move
Hitech City,Apartment,1,2280,65.58,0.03,2005,Furnished,26,28,20,9,2,High,No,Yes,"Clubhouse, Pool, Playground",North,Owner,Ready_to_Move
Gachibowli,Independent House,1,2507,58.2,0.02,2006,Semi-furnished,26,22,19,4,5,Medium,Yes,No,"Clubhouse, Gym, Playground",East,Broker,Under_Construction
Financial District,Villa,2,1606,163.37,0.1,2008,Unfurnished,8,16,17,9,2,Medium,Yes,Yes,"Playground, Clubhouse, Gym, Pool",West,Broker,Under_Construction
Kavuri Hills,Villa,5,3705,15.73,0.0,2022,Furnished,13,9,3,10,4,Medium,Yes,Yes,"Pool, Playground, Gym, Clubhouse, Garden",East,Builder,Under_Construction
Madhapur,Independent House,5,3414,13.53,0.0,2000,Semi-furnished,3,21,25,8,6,Medium,No,Yes,"Gym, Garden, Pool",North,Owner,Ready_to_Move
Somajiguda,Independent House,2,3470,195.17,0.06,2020,Furnished,20,10,5,10,9,Low,No,No,"Pool, Clubhouse, Gym",East,Broker,Ready_to_Move
Khanapur,Independent House,2,4883,165.8,0.03,1992,Semi-furnished,16,2,33,10,7,Low,No,Yes,"Pool, Clubhouse, Playground, Gym",East,Owner,Under_Construction
Khanapur,Apartment,3,4075,25.12,0.01,2011,Furnished,13,30,14,9,6,Medium,Yes,No,Garden,West,Builder,Under_Construction
Narsingi,Apartment,1,698,393.92,0.56,2007,Unfurnished,18,1,18,7,8,Medium,Yes,No,"Playground, Pool, Garden",West,Owner,Under_Construction
Nanakramguda,Apartment,5,842,368.05,0.44,2019,Furnished,8,12,6,8,9,Low,No,Yes,"Pool, Garden",East,Broker,Ready_to_Move
Banjara Hills,Apartment,2,3373,105.23,0.03,1990,Semi-furnished,28,24,35,4,8,High,Yes,Yes,Gym,East,Builder,Under_Construction
Raidurg,Apartment,2,3481,70.02,0.02,1997,Unfurnished,17,30,28,5,3,Medium,Yes,No,"Gym, Garden",East,Broker,Under_Construction
Nanakramguda,Independent House,4,2253,23.16,0.01,1991,Unfurnished,3,4,34,1,1,Low,No,No,"Playground, Garden, Pool",West,Builder,Ready_to_Move
Khanapur,Apartment,2,2422,344.73,0.14,2014,Semi-furnished,12,2,11,3,10,High,No,No,"Gym, Playground, Clubhouse, Garden, Pool",East,Broker,Under_Construction
Kavuri Hills,Independent House,2,4291,82.5,0.02,2001,Semi-furnished,17,24,24,5,4,Low,Yes,Yes,"Playground, Pool, Gym, Garden, Clubhouse",West,Broker,Under_Construction
Banjara Hills,Apartment,3,2333,180.09,0.08,1997,Unfurnished,27,7,28,1,9,High,Yes,Yes,"Gym, Clubhouse",South,Broker,Under_Construction
Begumpet,Apartment,5,3925,61.07,0.02,2023,Unfurnished,3,28,2,2,4,Low,Yes,No,"Garden, Playground, Pool",South,Owner,Ready_to_Move
Financial District,Villa,5,4015,277.69,0.07,2005,Semi-furnished,16,28,20,10,5,Medium,Yes,Yes,"Clubhouse, Pool, Gym",South,Builder,Ready_to_Move
Somajiguda,Independent House,2,3357,42.89,0.01,2021,Furnished,5,21,4,2,10,High,No,No,"Playground, Garden, Pool, Clubhouse",South,Owner,Ready_to_Move
Hitech City,Independent House,4,4796,357.94,0.07,1998,Semi-furnished,26,24,27,4,3,Low,Yes,No,"Garden, Gym, Playground",West,Broker,Ready_to_Move
Nanakramguda,Villa,1,1243,119.76,0.1,2003,Semi-furnished,20,2,22,6,8,Medium,Yes,Yes,"Playground, Pool",North,Broker,Under_Construction
Financial District,Apartment,2,2295,372.56,0.16,1991,Unfurnished,15,9,34,8,2,Low,Yes,Yes,"Garden, Pool, Clubhouse, Gym, Playground",East,Owner,Under_Construction
Madhapur,Apartment,5,1165,204.82,0.18,2011,Semi-furnished,22,29,14,8,6,High,Yes,Yes,"Pool, Gym, Clubhouse, Playground, Garden",South,Builder,Ready_to_Move
Somajiguda,Independent House,5,1147,199.09,0.17,1994,Furnished,13,18,31,4,9,Low,No,No,"Garden, Gym, Pool, Clubhouse, Playground",North,Builder,Ready_to_Move
Hitech City,Apartment,5,788,50.15,0.06,2023,Semi-furnished,19,7,2,3,7,High,No,Yes,"Playground, Garden, Clubhouse, Gym, Pool",West,Builder,Under_Construction
Jubilee Hills,Independent House,4,3088,148.28,0.05,2013,Furnished,1,27,12,1,6,Low,No,Yes,"Playground, Garden",South,Builder,Ready_to_Move
Banjara Hills,Villa,5,1106,82.87,0.07,1993,Semi-furnished,4,25,32,4,8,Low,No,No,"Gym, Playground, Pool",South,Builder,Ready_to_Move
Madhapur,Apartment,4,1006,290.44,0.29,2015,Semi-furnished,16,22,10,6,4,High,No,No,"Gym, Playground, Pool, Clubhouse",North,Builder,Under_Construction
Kokapet,Villa,2,1948,377.33,0.19,2003,Semi-furnished,11,28,22,3,10,Medium,No,Yes,"Playground, Clubhouse, Pool",East,Owner,Under_Construction
Gachibowli,Villa,4,3750,266.13,0.07,2001,Semi-furnished,28,20,24,2,10,Medium,Yes,Yes,Pool,West,Builder,Ready_to_Move
Raidurg,Villa,1,4797,87.38,0.02,2006,Semi-furnished,28,11,19,5,6,High,Yes,Yes,"Garden, Gym, Clubhouse, Pool, Playground",West,Broker,Ready_to_Move
Kavuri Hills,Apartment,5,1392,230.09,0.17,2019,Furnished,23,7,6,9,1,Medium,No,Yes,"Playground, Pool, Gym",West,Builder,Under_Construction
Somajiguda,Apartment,5,4755,78.3,0.02,1993,Furnished,8,13,32,1,9,Low,No,Yes,"Clubhouse, Garden",North,Builder,Under_Construction
Raidurg,Apartment,1,3043,320.74,0.11,1991,Semi-furnished,23,13,34,2,4,Medium,No,Yes,"Garden, Clubhouse, Pool",North,Broker,Ready_to_Move
Jubilee Hills,Apartment,3,594,14.15,0.02,2011,Unfurnished,28,29,14,8,1,Low,No,Yes,"Garden, Clubhouse, Gym",East,Owner,Under_Construction
Nanakramguda,Villa,2,2206,348.31,0.16,1991,Semi-furnished,1,12,34,10,4,Low,No,Yes,Pool,South,Owner,Ready_to_Move
Raidurg,Villa,1,1484,407.48,0.27,2002,Unfurnished,3,2,23,1,8,Medium,No,No,"Clubhouse, Gym, Garden",West,Owner,Ready_to_Move
Khanapur,Independent House,3,1927,318.77,0.17,2023,Semi-furnished,24,25,2,10,10,Medium,Yes,No,"Clubhouse, Gym, Pool, Playground, Garden",West,Owner,Ready_to_Move
Hitech City,Villa,5,1125,217.21,0.19,2012,Semi-furnished,14,18,13,2,9,Medium,Yes,Yes,"Pool, Clubhouse, Garden",West,Builder,Under_Construction
Hitech City,Apartment,4,4106,493.86,0.12,2002,Semi-furnished,5,22,23,5,6,Medium,Yes,Yes,"Gym, Playground",North,Broker,Under_Construction
Jubilee Hills,Apartment,2,2965,18.88,0.01,2007,Semi-furnished,30,11,18,2,2,Low,No,Yes,"Clubhouse, Pool, Gym, Playground",West,Builder,Under_Construction
Madhapur,Independent House,3,2725,336.06,0.12,1994,Unfurnished,28,28,31,3,3,Medium,No,Yes,"Garden, Gym, Clubhouse",South,Broker,Ready_to_Move
Gachibowli,Independent House,4,3285,308.1,0.09,2022,Semi-furnished,12,17,3,1,7,Medium,Yes,Yes,"Garden, Gym",West,Broker,Under_Construction
Banjara Hills,Independent House,1,3792,261.74,0.07,1996,Unfurnished,2,28,29,6,1,High,Yes,Yes,"Garden, Gym, Clubhouse, Pool",North,Owner,Under_Construction
Financial District,Villa,2,3944,74.65,0.02,1998,Unfurnished,11,18,27,9,2,Medium,No,Yes,Gym,North,Broker,Ready_to_Move
Narsingi,Apartment,3,2555,397.06,0.16,2010,Semi-furnished,6,3,15,3,5,Low,Yes,No,"Playground, Gym, Garden",North,Broker,Under_Construction
Jubilee Hills,Villa,5,851,440.33,0.52,2007,Furnished,23,19,18,4,1,High,Yes,No,"Playground, Gym, Garden, Pool, Clubhouse",West,Broker,Ready_to_Move
Khanapur,Apartment,2,2327,70.66,0.03,2000,Furnished,10,5,25,9,2,Low,No,No,"Pool, Clubhouse, Garden, Gym, Playground",North,Broker,Ready_to_Move
Film Nagar,Apartment,2,1245,449.64,0.36,2001,Unfurnished,5,13,24,9,3,Medium,Yes,Yes,Playground,West,Owner,Under_Construction
Kokapet,Independent House,4,4580,224.9,0.05,2021,Unfurnished,29,2,4,9,7,Low,No,Yes,"Pool, Gym, Clubhouse",East,Broker,Under_Construction
Kavuri Hills,Apartment,1,1568,113.82,0.07,1999,Furnished,4,3,26,6,5,Low,Yes,Yes,"Playground, Clubhouse, Pool, Garden",North,Broker,Under_Construction
Kavuri Hills,Villa,2,2106,431.51,0.2,2004,Unfurnished,23,20,21,7,8,Medium,No,Yes,"Pool, Garden",West,Builder,Under_Construction
Nanakramguda,Villa,2,3864,334.1,0.09,2021,Furnished,1,13,4,1,8,Medium,No,Yes,"Playground, Gym, Clubhouse, Pool, Garden",West,Broker,Under_Construction
Gachibowli,Apartment,3,2148,349.18,0.16,1992,Unfurnished,5,24,33,7,8,High,Yes,Yes,"Playground, Pool, Gym",South,Builder,Ready_to_Move
Gachibowli,Apartment,3,1165,402.16,0.35,2013,Furnished,26,10,12,5,9,Medium,No,No,"Gym, Playground, Garden, Clubhouse",South,Owner,Ready_to_Move
Film Nagar,Independent House,2,4857,249.47,0.05,2009,Semi-furnished,18,5,16,3,7,Medium,No,No,"Clubhouse, Playground, Pool, Garden",South,Broker,Under_Construction
Hitech City,Apartment,2,4596,294.84,0.06,1998,Furnished,11,5,27,6,8,High,No,Yes,"Clubhouse, Pool, Playground",East,Owner,Ready_to_Move
Begumpet,Independent House,1,3919,273.65,0.07,1995,Unfurnished,0,28,30,8,1,High,Yes,No,"Gym, Pool",North,Broker,Under_Construction
Film Nagar,Independent House,2,1705,100.53,0.06,2012,Unfurnished,19,27,13,4,10,High,Yes,No,"Clubhouse, Pool, Garden, Gym",North,Broker,Ready_to_Move
Film Nagar,Independent House,2,2887,499.56,0.17,2020,Semi-furnished,15,27,5,7,2,Low,Yes,No,Playground,North,Builder,Under_Construction
Khanapur,Villa,3,1574,337.35,0.21,1996,Furnished,27,22,29,10,8,High,No,Yes,"Clubhouse, Playground, Gym, Garden",East,Broker,Ready_to_Move
Khanapur,Apartment,1,710,414.54,0.58,2020,Semi-furnished,12,16,5,9,8,Low,No,Yes,"Pool, Clubhouse, Playground, Garden, Gym",South,Broker,Under_Construction
Madhapur,Villa,3,2139,346.1,0.16,1999,Semi-furnished,17,6,26,3,2,Low,Yes,No,Garden,East,Broker,Under_Construction
Kavuri Hills,Apartment,2,1905,100.51,0.05,1995,Semi-furnished,18,20,30,6,6,Medium,Yes,No,"Gym, Pool, Garden",South,Builder,Ready_to_Move
Begumpet,Apartment,4,2604,436.0,0.17,2006,Unfurnished,24,13,19,5,9,High,Yes,Yes,"Playground, Gym, Pool",East,Owner,Under_Construction
Khanapur,Apartment,3,3215,208.06,0.06,2001,Unfurnished,22,25,24,7,6,Medium,Yes,Yes,"Playground, Garden, Pool, Clubhouse, Gym",North,Builder,Under_Construction
Gachibowli,Independent House,5,1331,262.62,0.2,2022,Unfurnished,30,11,3,8,7,High,No,Yes,"Gym, Clubhouse, Pool",West,Owner,Under_Construction
Nanakramguda,Apartment,3,3882,148.23,0.04,2008,Unfurnished,14,14,17,1,4,High,No,No,"Garden, Gym",East,Builder,Ready_to_Move
Kokapet,Villa,2,2555,379.2,0.15,2008,Semi-furnished,3,11,17,5,4,High,No,No,"Garden, Clubhouse",West,Broker,Under_Construction
Gachibowli,Apartment,4,4376,117.02,0.03,2021,Semi-furnished,20,26,4,7,2,Low,Yes,No,"Clubhouse, Pool, Garden, Playground, Gym",South,Builder,Under_Construction
Hitech City,Independent House,3,4957,196.0,0.04,2007,Unfurnished,17,2,18,7,4,Low,Yes,No,"Clubhouse, Playground, Garden, Pool, Gym",West,Builder,Ready_to_Move
Hitech City,Apartment,4,2447,124.85,0.05,1992,Furnished,5,2,33,7,5,Medium,No,No,"Playground, Clubhouse, Gym, Pool, Garden",East,Owner,Ready_to_Move
Hitech City,Apartment,2,937,45.85,0.05,2018,Unfurnished,3,8,7,9,7,High,Yes,Yes,"Gym, Clubhouse, Garden, Playground, Pool",East,Owner,Ready_to_Move
Film Nagar,Apartment,3,572,18.41,0.03,2006,Unfurnished,17,23,19,9,6,High,Yes,Yes,"Pool, Garden, Clubhouse",South,Builder,Under_Construction
Jubilee Hills,Independent House,4,508,102.66,0.2,2019,Unfurnished,14,21,6,7,6,High,No,Yes,"Playground, Pool, Clubhouse, Gym",South,Owner,Under_Construction
Begumpet,Apartment,3,3612,348.52,0.1,2016,Furnished,12,2,9,10,7,Low,No,Yes,"Clubhouse, Gym, Garden, Pool",North,Broker,Under_Construction
Financial District,Villa,3,4227,408.88,0.1,2016,Furnished,18,16,9,5,1,Medium,Yes,Yes,Garden,North,Broker,Under_Construction
Banjara Hills,Villa,2,1736,77.63,0.04,2019,Furnished,21,15,6,8,4,High,No,Yes,Garden,South,Builder,Ready_to_Move
Kavuri Hills,Villa,1,4274,234.08,0.05,2018,Unfurnished,17,15,7,2,3,High,Yes,No,Garden,East,Broker,Ready_to_Move
Kokapet,Independent House,3,4350,319.52,0.07,2010,Semi-furnished,20,6,15,7,4,High,No,Yes,"Playground, Gym, Pool",East,Owner,Under_Construction
Khanapur,Independent House,1,4975,403.2,0.08,2023,Furnished,30,26,2,1,9,Medium,No,Yes,"Gym, Garden",South,Builder,Ready_to_Move
Kokapet,Villa,3,4176,347.65,0.08,2000,Furnished,16,5,25,6,9,Medium,Yes,No,"Pool, Garden, Playground, Clubhouse, Gym",South,Owner,Under_Construction
Kokapet,Villa,2,3989,147.13,0.04,1994,Unfurnished,10,26,31,7,9,High,No,Yes,"Pool, Playground, Gym",South,Owner,Ready_to_Move
Begumpet,Independent House,1,1605,362.74,0.23,1994,Semi-furnished,30,28,31,1,1,Medium,Yes,No,"Garden, Clubhouse",North,Owner,Under_Construction
Begumpet,Villa,1,1632,153.7,0.09,2011,Unfurnished,16,19,14,3,7,Low,No,No,"Garden, Playground, Gym, Pool, Clubhouse",South,Broker,Under_Construction
Begumpet,Apartment,2,1068,182.69,0.17,1993,Semi-furnished,4,1,32,7,2,Medium,No,No,"Clubhouse, Garden, Gym",North,Builder,Ready_to_Move
Banjara Hills,Villa,1,1550,45.3,0.03,1997,Furnished,2,22,28,6,8,Medium,Yes,Yes,"Gym, Garden",East,Broker,Under_Construction
Madhapur,Independent House,3,1460,22.76,0.02,2011,Semi-furnished,8,27,14,10,2,High,Yes,No,"Playground, Garden, Gym, Clubhouse",East,Owner,Under_Construction
Khanapur,Villa,3,4075,191.78,0.05,2021,Furnished,24,11,4,4,4,Low,Yes,No,"Playground, Clubhouse",North,Broker,Under_Construction
Somajiguda,Independent House,4,1262,391.81,0.31,2000,Furnished,2,9,25,9,5,Low,No,No,"Gym, Garden",North,Owner,Under_Construction
Banjara Hills,Apartment,5,3378,244.17,0.07,2005,Unfurnished,12,22,20,4,10,High,No,No,"Garden, Pool, Clubhouse, Gym",East,Builder,Under_Construction
Financial District,Villa,4,2811,370.17,0.13,2006,Unfurnished,6,19,19,6,8,High,No,No,Gym,West,Broker,Ready_to_Move
Begumpet,Villa,5,2233,308.95,0.14,1990,Furnished,18,3,35,8,2,Low,Yes,No,Playground,North,Builder,Under_Construction
Jubilee Hills,Villa,4,925,195.57,0.21,2000,Unfurnished,13,25,25,2,2,Medium,Yes,Yes,"Gym, Pool",South,Owner,Under_Construction
Kokapet,Independent House,2,1032,303.53,0.29,1999,Semi-furnished,5,4,26,1,1,Low,Yes,Yes,"Garden, Clubhouse, Playground, Gym",West,Builder,Under_Construction
Gachibowli,Villa,5,1736,115.49,0.07,2019,Furnished,15,24,6,10,6,High,Yes,No,"Pool, Clubhouse",West,Builder,Under_Construction
Kokapet,Independent House,5,978,459.89,0.47,2004,Unfurnished,5,29,21,10,5,High,Yes,Yes,"Pool, Gym",South,Owner,Ready_to_Move
Nanakramguda,Independent House,1,1513,87.68,0.06,2014,Semi-furnished,14,16,11,10,9,High,Yes,No,"Clubhouse, Garden, Pool",South,Builder,Under_Construction
Khanapur,Independent House,3,3688,431.9,0.12,2019,Semi-furnished,9,6,6,6,4,Medium,No,No,"Pool, Clubhouse, Gym, Garden, Playground",South,Broker,Under_Construction
Jubilee Hills,Villa,1,4889,132.68,0.03,2018,Semi-furnished,6,10,7,3,4,Medium,Yes,Yes,"Clubhouse, Gym, Playground, Pool, Garden",North,Builder,Ready_to_Move
Somajiguda,Independent House,1,1046,124.65,0.12,2008,Unfurnished,28,30,17,6,10,High,No,Yes,Garden,North,Broker,Ready_to_Move
Banjara Hills,Independent House,5,4309,369.27,0.09,1997,Semi-furnished,29,12,28,10,8,High,Yes,No,"Clubhouse, Garden, Gym",North,Owner,Under_Construction
Jubilee Hills,Apartment,1,4950,269.0,0.05,2001,Furnished,30,2,24,4,9,Medium,Yes,Yes,"Pool, Gym",West,Broker,Under_Construction
Nanakramguda,Independent House,2,4171,448.89,0.11,2001,Furnished,30,30,24,6,8,Medium,No,No,"Clubhouse, Garden, Pool, Gym, Playground",South,Owner,Under_Construction
Kokapet,Apartment,1,3945,226.48,0.06,2003,Unfurnished,2,11,22,5,3,High,Yes,No,"Garden, Clubhouse, Pool, Gym, Playground",South,Broker,Under_Construction
Hitech City,Independent House,2,3953,67.09,0.02,2012,Furnished,28,28,13,10,1,High,No,No,"Pool, Playground, Gym, Clubhouse, Garden",West,Broker,Ready_to_Move
Jubilee Hills,Independent House,1,921,74.12,0.08,2008,Unfurnished,18,4,17,2,6,Medium,No,No,"Clubhouse, Playground, Garden",South,Broker,Under_Construction
Gachibowli,Villa,5,1551,11.91,0.01,2006,Semi-furnished,4,12,19,9,5,Medium,Yes,Yes,"Gym, Pool, Clubhouse, Playground, Garden",East,Builder,Ready_to_Move
Kokapet,Apartment,3,1851,170.65,0.09,1992,Furnished,11,9,33,6,3,High,Yes,No,"Pool, Gym, Clubhouse, Playground",East,Broker,Under_Construction
Financial District,Apartment,2,834,108.53,0.13,1997,Semi-furnished,16,3,28,7,2,High,No,Yes,"Playground, Garden",West,Broker,Ready_to_Move
Financial District,Independent House,2,4149,266.58,0.06,2018,Semi-furnished,29,14,7,3,6,Medium,Yes,Yes,"Garden, Clubhouse, Gym, Playground",East,Owner,Under_Construction
Kavuri Hills,Villa,5,3650,273.18,0.07,2001,Unfurnished,13,27,24,3,2,Medium,Yes,No,"Gym, Pool, Playground, Clubhouse, Garden",West,Builder,Under_Construction
Kavuri Hills,Villa,4,4940,387.29,0.08,2008,Furnished,22,6,17,6,5,Low,Yes,No,Pool,South,Broker,Under_Construction
Narsingi,Independent House,1,3494,121.96,0.03,2013,Unfurnished,16,16,12,4,9,Medium,Yes,Yes,"Pool, Clubhouse, Garden, Gym",South,Broker,Under_Construction
Jubilee Hills,Independent House,1,900,316.92,0.35,2009,Semi-furnished,25,23,16,4,1,High,No,Yes,"Pool, Clubhouse, Playground, Garden, Gym",West,Owner,Ready_to_Move
Hitech City,Independent House,5,4479,269.6,0.06,1996,Unfurnished,5,1,29,6,2,Low,No,Yes,Gym,South,Broker,Under_Construction
Banjara Hills,Villa,1,4571,329.96,0.07,1995,Unfurnished,21,6,30,6,10,High,Yes,No,"Garden, Clubhouse, Gym, Pool, Playground",South,Owner,Ready_to_Move
Gachibowli,Apartment,2,4952,347.91,0.07,1995,Semi-furnished,6,21,30,9,3,Medium,Yes,Yes,"Garden, Pool, Gym",West,Builder,Under_Construction
Jubilee Hills,Villa,4,1386,154.91,0.11,2015,Unfurnished,1,2,10,10,3,High,No,Yes,"Playground, Gym, Pool",North,Broker,Under_Construction
Gachibowli,Independent House,1,2276,44.95,0.02,2021,Unfurnished,16,5,4,10,6,High,Yes,Yes,"Playground, Gym, Garden, Clubhouse, Pool",West,Owner,Ready_to_Move
Somajiguda,Villa,5,1992,280.68,0.14,1998,Semi-furnished,10,6,27,3,7,Low,Yes,No,"Garden, Gym, Pool",East,Builder,Ready_to_Move
Somajiguda,Independent House,2,2524,359.65,0.14,2023,Unfurnished,16,1,2,4,5,Medium,Yes,Yes,"Pool, Clubhouse, Garden, Gym",South,Broker,Under_Construction
Nanakramguda,Villa,3,2873,132.78,0.05,2012,Semi-furnished,7,11,13,6,3,High,No,Yes,Playground,North,Owner,Ready_to_Move
Jubilee Hills,Independent House,2,3859,95.36,0.02,2022,Furnished,25,2,3,3,7,Medium,No,Yes,"Clubhouse, Garden, Gym",East,Owner,Under_Construction
Narsingi,Apartment,2,2391,112.47,0.05,1990,Unfurnished,25,8,35,2,9,Low,Yes,No,Playground,North,Builder,Ready_to_Move
Raidurg,Apartment,3,3174,261.34,0.08,2013,Semi-furnished,17,30,12,6,4,High,Yes,No,"Clubhouse, Garden, Gym, Pool",North,Broker,Under_Construction
Nanakramguda,Independent House,4,3855,447.73,0.12,1991,Semi-furnished,11,30,34,8,1,High,Yes,Yes,"Pool, Garden, Playground, Gym, Clubhouse",North,Broker,Ready_to_Move
Raidurg,Villa,4,4515,113.63,0.03,1997,Furnished,25,10,28,7,8,Low,No,No,Clubhouse,North,Builder,Under_Construction
Film Nagar,Independent House,1,4114,316.99,0.08,2013,Semi-furnished,20,27,12,10,3,Low,No,Yes,"Playground, Clubhouse, Pool, Garden",East,Owner,Ready_to_Move
Gachibowli,Villa,1,2622,465.9,0.18,1990,Unfurnished,3,7,35,3,10,High,No,Yes,"Garden, Clubhouse",East,Owner,Ready_to_Move
Somajiguda,Independent House,2,2615,97.6,0.04,2006,Furnished,16,30,19,3,10,High,No,No,"Clubhouse, Garden, Gym, Pool",West,Builder,Under_Construction
Financial District,Apartment,4,1046,291.07,0.28,2008,Furnished,1,15,17,8,1,Low,Yes,Yes,"Gym, Pool, Clubhouse, Playground",West,Builder,Ready_to_Move
Kokapet,Villa,5,3181,297.61,0.09,1993,Furnished,5,22,32,5,4,Low,No,Yes,Garden,South,Owner,Ready_to_Move
Madhapur,Apartment,4,578,497.12,0.86,1990,Furnished,13,2,35,2,10,High,Yes,No,"Garden, Gym, Clubhouse",South,Builder,Ready_to_Move
Kokapet,Independent House,5,3208,146.91,0.05,2011,Semi-furnished,25,8,14,9,10,Low,No,Yes,"Pool, Clubhouse, Gym",South,Builder,Under_Construction
Madhapur,Villa,5,571,388.83,0.68,2012,Unfurnished,26,24,13,2,9,High,Yes,Yes,"Clubhouse, Pool, Gym, Garden, Playground",North,Owner,Ready_to_Move
Banjara Hills,Apartment,1,2145,385.41,0.18,2007,Unfurnished,20,13,18,8,4,High,Yes,No,Garden,East,Builder,Under_Construction
Raidurg,Villa,3,2684,393.69,0.15,2000,Furnished,20,8,25,4,5,High,No,Yes,"Gym, Pool, Playground, Clubhouse, Garden",East,Builder,Under_Construction
Kavuri Hills,Independent House,3,3735,52.64,0.01,1998,Semi-furnished,12,19,27,2,3,High,No,No,"Gym, Playground, Garden, Clubhouse, Pool",North,Broker,Under_Construction
Somajiguda,Apartment,5,4444,488.53,0.11,2022,Unfurnished,11,11,3,9,4,Low,No,Yes,"Pool, Gym, Garden",South,Owner,Ready_to_Move
Nanakramguda,Apartment,1,704,488.24,0.69,1997,Furnished,8,2,28,6,9,Low,Yes,No,"Garden, Playground, Pool",South,Broker,Ready_to_Move
Financial District,Independent House,2,762,340.07,0.45,2020,Unfurnished,18,23,5,9,3,Low,Yes,No,"Garden, Gym",West,Broker,Under_Construction
Film Nagar,Villa,4,2386,220.04,0.09,2004,Furnished,6,5,21,4,8,High,No,Yes,"Gym, Playground, Clubhouse",West,Builder,Under_Construction
Somajiguda,Villa,5,4948,69.83,0.01,2000,Semi-furnished,22,6,25,4,9,Medium,No,Yes,"Pool, Garden, Playground",East,Owner,Ready_to_Move
Khanapur,Independent House,2,2556,314.72,0.12,1992,Unfurnished,19,15,33,7,10,Low,No,Yes,"Garden, Pool",South,Builder,Ready_to_Move
Raidurg,Villa,5,3227,229.64,0.07,2023,Unfurnished,3,28,2,9,8,Low,No,No,"Gym, Pool, Playground, Garden, Clubhouse",East,Builder,Under_Construction
Film Nagar,Apartment,4,2883,416.84,0.14,2003,Furnished,0,29,22,8,8,Medium,Yes,No,"Gym, Playground, Clubhouse, Pool",North,Broker,Ready_to_Move
Financial District,Independent House,5,1978,15.62,0.01,2009,Semi-furnished,19,27,16,9,5,High,No,No,"Garden, Gym, Pool",East,Broker,Under_Construction
